subtype,model,model_display,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice,baseline_mae,mae_reduction_vs_original_ml
HR-/HER2+,hybrid_a25_k8,hybrid_a25_k8,57,9.956275208809144,9.016432637203838,12.051144495414997,7.863641334699734,0.8421052631578947,22.114749552503365,26.460914097408292,1.1141918434126938,3.5059659419586646,0.05180305639050513,18.338697134072575,8.382421925263431
HR-/HER2+,hybrid_a50_bio_k8,Hybrid-bio k=8,57,7.51869337208555,6.796940102581356,9.981238054665805,6.009343891716176,0.9122807017543859,19.075310021420957,22.247417887525923,1.1046328010160948,3.4825624609036763,0.0537061618573833,18.338697134072575,10.820003761987024
HR-/HER2+,hybrid_a50_k8,hybrid_a50_k8,57,10.530103512129877,9.013087144506944,12.736137062656217,8.046969989031236,0.8421052631578947,22.4297230741621,27.41726285075549,1.128636662351171,3.5061598248557098,0.05268549471150588,18.338697134072575,7.808593621942698
HR-/HER2+,hybrid_a75_bio_k8,hybrid_a75_bio_k8,57,8.092176950756953,7.200471983176538,10.129183684408575,6.376447258440226,0.8771929824561403,20.12261352466637,23.46545273379137,1.1094540208395496,3.4940414652325247,0.05295965499256653,18.338697134072575,10.246520183315623
HR-/HER2+,hybrid_a75_k8,hybrid_a75_k8,57,10.716728688419202,9.092949199997776,12.557652523502021,7.97913935734963,0.8421052631578947,25.18722709853822,31.05808223949865,1.1253341236007377,3.506078139174947,0.05222862286288193,18.338697134072575,7.621968445653373
HR-/HER2+,no_edges,No edges,57,9.335517560397935,7.888446821006712,11.568113541943127,6.96357437978045,0.8771929824561403,25.362079877644575,28.99651230804089,1.1410954990612394,3.5204570617751254,0.05245738320579067,18.338697134072575,9.00317957367464
HR-/HER2+,original_graph,Original graph,57,18.338697134072575,14.746042163405145,22.1717933317657,11.653091010107655,0.8070175438596491,56.58561136611553,59.22834876370571,1.2755769530771075,3.7048545096874284,0.04719243167589098,18.338697134072575,0.0
HR-/HER2+,radial_bio_k16,radial_bio_k16,57,7.41376733312713,6.610216053178245,9.565170960860117,5.798515819817214,0.9122807017543859,19.76450956037316,23.148945346714584,1.109035528435594,3.4973976639233784,0.05218971863748171,18.338697134072575,10.924929800945446
HR-/HER2+,radial_bio_k4,radial_bio_k4,57,8.526708696645523,7.378681737982447,10.73331939775192,6.565285241933821,0.8947368421052632,21.414697586323296,24.564835209486667,1.10540448958754,3.490357004267233,0.05255762461405659,18.338697134072575,9.811988437427052
HR-/HER2+,radial_bio_k8,Radial-bio k=8,57,7.634039964543822,6.585373949152792,9.565193017560475,5.80418759905988,0.8771929824561403,21.493389526681838,24.7373705907111,1.0988156839024708,3.4911981822766522,0.053273742050138,18.338697134072575,10.704657169528753
HR-/HER2+,radial_geo_k8,radial_geo_k8,57,8.020475742102825,7.248097049108337,10.0665899138632,6.37448425811466,0.8245614035087719,18.87219974569354,22.66671367782623,1.104187526261272,3.4968294965249,0.05201353700427432,18.338697134072575,10.31822139196975
HR-/HER2+,radial_k8,Radial k=8,57,8.736915108310182,7.693669683096727,10.564870211840923,6.760121124771696,0.8596491228070176,22.358436132003575,27.30667553602353,1.1039200409012884,3.4930896968959915,0.052147709239387566,18.338697134072575,9.601782025762393
HR-/HER2+,spatial_k16,spatial_k16,57,10.060078393113262,8.408916450023636,12.779545824169901,7.584551943661693,0.8245614035087719,24.889321824807823,28.331061456375807,1.120675629620072,3.502783976494382,0.05139461556232736,18.338697134072575,8.278618740959313
HR-/HER2+,spatial_k4,spatial_k4,57,11.177368231241285,9.280134118437996,13.924375437468814,8.300552092158233,0.8245614035087719,26.546400605033526,32.22529836872118,1.1422952329674347,3.520604425715664,0.05249039115528442,18.338697134072575,7.16132890283129
HR-/HER2+,spatial_k4_bio,spatial_k4_bio,57,7.586168777842834,6.714640487973627,9.664168942812802,5.818905958496906,0.8771929824561403,19.04213695258742,22.591040096252996,1.124629517211502,3.5112519150825747,0.051003606568218014,18.338697134072575,10.75252835622974
TNBC,bio_ftv010_alive000,bio_ftv010_alive000,261,7.777678101699917,6.522620646894676,10.447561526338248,5.597854790030958,0.8697318007662835,23.624059015333547,26.588492740071942,1.1962234801738192,3.5116408001970703,0.04994154721510921,15.93897407840581,8.161295976705894
TNBC,bio_ftv010_alive002,bio_ftv010_alive002,261,7.885416928609288,6.536785991182655,10.562606993318271,5.564553182192778,0.8888888888888888,25.178548863879925,29.50146879824365,1.190131370019435,3.498819204660214,0.05056915596086054,15.93897407840581,8.053557149796521
TNBC,bio_ftv020_alive005,Endpoint-calibrated,261,8.050776254369486,6.515483171843674,10.499282291625576,5.567880653578564,0.8697318007662835,24.66375948824855,28.188353162830285,1.1907271291591082,3.4983755346857213,0.05041268633101675,15.93897407840581,7.8881978240363235
TNBC,endpoint_full_k8,endpoint_full_k8,261,7.875158582259724,6.52318939125875,10.396897328297829,5.534660887445495,0.8697318007662835,24.739292487780684,29.277339281583174,1.1871727393311646,3.4984323554106638,0.05058708286909127,15.93897407840581,8.063815496146086
TNBC,feature_all_k8,feature_all_k8,261,7.770222005082201,6.233798486170093,10.167066910213723,5.35464661765404,0.8697318007662835,25.325753447466997,29.49603193262677,1.1614620628809178,3.4697319362399437,0.051829720785437704,15.93897407840581,8.16875207332361
TNBC,feature_pe_ser_k8,feature_pe_ser_k8,261,7.927027464293626,6.390655138646116,10.34118990150702,5.445522075310646,0.842911877394636,24.7690697840293,29.290671312289685,1.1506345044774051,3.4600173404834176,0.051789745743812614,15.93897407840581,8.011946614112183
TNBC,feature_volume_k8,feature_volume_k8,261,7.543040688359646,6.160096537561321,9.699026534165482,5.260064321306126,0.8620689655172413,23.671389872230705,26.94404006177385,1.1626142118933493,3.475475833802071,0.05098827982244879,15.93897407840581,8.395933390046164
TNBC,hybrid_a25_k8,hybrid_a25_k8,261,7.883882363867377,6.253819189123703,10.256566248852797,5.365316964490771,0.8582375478927203,24.168409861419573,28.51446204189307,1.1681164208651886,3.4789110672440366,0.051140951887213744,15.93897407840581,8.055091714538433
TNBC,hybrid_a50_bio_k8,Hybrid-bio k=8,261,5.85546550952978,5.10111571011978,7.999665542697603,4.255507646141935,0.8659003831417624,19.328561782227645,22.49887297580987,1.1531351610523903,3.4625886208833654,0.051829029231823066,15.93897407840581,10.08350856887603
TNBC,hybrid_a50_k8,hybrid_a50_k8,261,7.7319413331771685,6.305673878564715,10.352927059452284,5.371271264765457,0.8582375478927203,23.80803768292192,28.781692681832563,1.177603008522019,3.4882688607272097,0.050866317611423836,15.93897407840581,8.207032745228641
TNBC,hybrid_a75_bio_k8,hybrid_a75_bio_k8,261,6.196261984403169,5.262095538450094,8.231720064681852,4.4216579404074645,0.8582375478927203,19.580706847536526,22.921550248640386,1.1555390690204583,3.4565696584019796,0.051830189913876216,15.93897407840581,9.742712094002641
TNBC,hybrid_a75_k8,hybrid_a75_k8,261,7.713000025731977,6.39034527406848,10.100197290268323,5.422622386362552,0.8697318007662835,24.46856540166119,30.33894782335784,1.1912880253905136,3.4969848879695893,0.05109909727173222,15.93897407840581,8.225974052673834
TNBC,no_edges,No edges,261,6.966699922754779,5.84385744659993,9.115105582615609,4.963072143304036,0.8773946360153256,22.720248120807405,26.34188421357023,1.1952975068926255,3.509840629859619,0.050250228149776234,15.93897407840581,8.972274155651032
TNBC,original_graph,Original graph,261,15.93897407840581,11.53590537860774,19.65731099079453,9.124029431263855,0.7662835249042146,57.80963755735803,60.45239278361642,1.3067738503415105,3.6751823218169646,0.04650777918334954,15.93897407840581,0.0
TNBC,radial_bio_k16,radial_bio_k16,261,5.74847395889203,5.174508588311615,8.053700779879753,4.321626379698159,0.8812260536398467,20.705639066657938,24.089101293061933,1.1660957102890577,3.473612795258804,0.05087047045128676,15.93897407840581,10.190500119513779
TNBC,radial_bio_k4,radial_bio_k4,261,6.358091677969836,5.471944677823621,8.622039798663822,4.5974389641669,0.8773946360153256,21.288038815373262,24.4376472878881,1.1542441139945905,3.4740619308891243,0.05093308365743918,15.93897407840581,9.580882400435975
TNBC,radial_bio_k8,Radial-bio k=8,261,5.692170398971585,5.019929478645994,7.719188424940747,4.161305070579708,0.8659003831417624,19.879563705332213,23.119834184715,1.1594627549447871,3.465925768175729,0.05122753379184106,15.93897407840581,10.246803679434226
TNBC,radial_geo_k8,radial_geo_k8,261,6.003328372493518,5.3708162099079555,8.182516043140302,4.4950330742581315,0.8812260536398467,19.678076656831514,23.47046190717518,1.1578843435408372,3.4722932780821494,0.05107437363849491,15.93897407840581,9.935645705912293
TNBC,radial_k8,Radial k=8,261,6.756084119479715,5.757302327081893,8.964223295370145,4.8939632757339115,0.8582375478927203,20.891122442827438,25.836291369541414,1.1485438456502761,3.457304346143764,0.05159624035673544,15.93897407840581,9.182889958926093
TNBC,spatial_k16,spatial_k16,261,7.964202298905077,6.708727892300926,10.547908396730401,5.730919425100834,0.8735632183908046,25.25591043547823,28.69746524583081,1.182099142672464,3.4905188132898797,0.05061689512119306,15.93897407840581,7.974771779500733
TNBC,spatial_k4,spatial_k4,261,7.870680679183599,6.390762085275116,10.00818980870913,5.4344974716028736,0.8505747126436781,23.981769239969427,29.657442011805593,1.1966959304744766,3.5019715885091998,0.05023880544806954,15.93897407840581,8.06829339922221
TNBC,spatial_k4_bio,spatial_k4_bio,261,5.882414901029882,5.119717926677238,8.152597659728174,4.257362847863705,0.8735632183908046,19.388294492144446,22.93802563339133,1.1707028955476544,3.47860610145635,0.05117218968555613,15.93897407840581,10.056559177375927
